2010-09-19 15:03:22 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 27]
2010-09-19 15:04:55 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 15:06:33 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 15:11:52 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 25]
2010-09-19 15:19:59 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 25]
2010-09-19 15:21:35 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 12]
2010-09-19 15:22:35 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 39]
2010-09-19 15:27:16 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 15:29:34 Debug: Notice (8): Undefined index:  webmaster in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\groups\view.ctp, line 109]
2010-09-19 15:29:38 Debug: Notice (8): Undefined index:  webmaster in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\groups\view.ctp, line 109]
2010-09-19 15:35:18 Debug: Notice (8): Undefined property: UsersController::$Session in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 12]
2010-09-20 14:12:18 Debug: Notice (8): Undefined property: stdClass::$maxsize in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\users_controller.php, line 36]
